NAICS Code,NAICS Description
541930,TRANSLATION AND INTERPRETATION SERVICES
327910,ABRASIVE PRODUCT MANUFACTURING
924120,ADMINISTRATION OF CONSERVATION PROGRAMS
923110,ADMINISTRATION OF EDUCATION PROGRAMS
926110,ADMINISTRATION OF GENERAL ECONOMIC PROGRAMS
923120,ADMINISTRATION OF PUBLIC HEALTH PROGRAMS
923140,ADMINISTRATION OF VETERANS' AFFAIRS
541611,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
541810,ADVERTISING AGENCIES
333912,AIR AND GAS COMPRESSOR MANUFACTURING
488111,AIR TRAFFIC CONTROL
333415,AIR-CONDITIONING AND WARM AIR HEATING EQUIPMENT AND COMMERCIAL AND INDUSTRIAL REFRIGERATION EQUIPMENT MANUFACTURING
336412,AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING
336411,AIRCRAFT MANUFACTURING
713990,ALL OTHER AMUSEMENT AND RECREATION INDUSTRIES
112990,ALL OTHER ANIMAL PRODUCTION
325199,ALL OTHER BASIC ORGANIC CHEMICAL MANUFACTURING
561499,ALL OTHER BUSINESS SUPPORT SERVICES
532289,ALL OTHER CONSUMER GOODS RENTAL
322299,ALL OTHER CONVERTED PAPER PRODUCT MANUFACTURING
333298,ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING
519190,ALL OTHER INFORMATION SERVICES
524298,ALL OTHER INSURANCE RELATED ACTIVITIES
316998,ALL OTHER LEATHER GOOD AND ALLIED PRODUCT MANUFACTURING
541199,ALL OTHER LEGAL SERVICES
621999,ALL OTHER MISCELLANEOUS AMBULATORY HEALTH CARE SERVICES
325998,ALL OTHER MISCELLANEOUS CHEMICAL PRODUCT AND PREPARATION MANUFACTURING
335999,ALL OTHER MISCELLANEOUS ELECTRICAL EQUIPMENT AND COMPONENT MANUFACTURING
332999,ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING
311999,ALL OTHER MISCELLANEOUS FOOD MANUFACTURING
333999,ALL OTHER MISCELLANEOUS GENERAL PURPOSE MACHINERY MANUFACTURING
339999,ALL OTHER MISCELLANEOUS MANUFACTURING
611699,ALL OTHER MISCELLANEOUS SCHOOLS AND INSTRUCTION
314999,ALL OTHER MISCELLANEOUS TEXTILE PRODUCT MILLS
562998,ALL OTHER MISCELLANEOUS WASTE MANAGEMENT SERVICES
621498,ALL OTHER OUTPATIENT CARE CENTERS
812990,ALL OTHER PERSONAL SERVICES
326199,ALL OTHER PLASTICS PRODUCT MANUFACTURING
541990,"ALL OTHER PROFESSIONAL, SCIENTIFIC, AND TECHNICAL SERVICES"
511199,ALL OTHER PUBLISHERS
326299,ALL OTHER RUBBER PRODUCT MANUFACTURING
238990,ALL OTHER SPECIALTY TRADE CONTRACTORS
488999,ALL OTHER SUPPORT ACTIVITIES FOR TRANSPORTATION
561990,ALL OTHER SUPPORT SERVICES
517919,ALL OTHER TELECOMMUNICATIONS
485999,ALL OTHER TRANSIT AND GROUND PASSENGER TRANSPORTATION
336999,ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING
561599,ALL OTHER TRAVEL ARRANGEMENT AND RESERVATION SERVICES
331315,"ALUMINUM SHEET, PLATE, AND FOIL MANUFACTURING"
621910,AMBULANCE SERVICES
332993,AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING
334516,ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING
311611,ANIMAL (EXCEPT POULTRY) SLAUGHTERING
315990,APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING
811412,APPLIANCE REPAIR AND MAINTENANCE
611513,APPRENTICESHIP TRAINING
541310,ARCHITECTURAL SERVICES
561613,ARMORED CAR SERVICES
325220,ARTIFICIAL AND SYNTHETIC FIBERS AND FILAMENTS MANUFACTURING
324121,ASPHALT PAVING MIXTURE AND BLOCK MANUFACTURING
324122,ASPHALT SHINGLE AND COATING MATERIALS MANUFACTURING
334310,AUDIO AND VIDEO EQUIPMENT MANUFACTURING
334512,"AUTOMATIC ENVIRONMENTAL CONTROL MANUFACTURING FOR RESIDENTIAL, COMMERCIAL, AND APPLIANCE USE"
423110,AUTOMOBILE AND OTHER MOTOR VEHICLE MERCHANT WHOLESALERS
611692,AUTOMOBILE DRIVING SCHOOLS
336111,AUTOMOBILE MANUFACTURING
332991,BALL AND ROLLER BEARING MANUFACTURING
334412,BARE PRINTED CIRCUIT BOARD MANUFACTURING
325414,BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING
221117,BIOMASS ELECTRIC POWER GENERATION
212112,BITUMINOUS COAL UNDERGROUND MINING
337920,BLIND AND SHADE MANUFACTURING
621991,BLOOD AND ORGAN BANKS
336612,BOAT BUILDING
332722,"BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING"
511130,BOOK PUBLISHERS
424920,"BOOK, PERIODICAL, AND NEWSPAPER MERCHANT WHOLESALERS"
323117,BOOKS PRINTING
312112,BOTTLED WATER MANUFACTURING
311230,BREAKFAST CEREAL MANUFACTURING
313311,BROADWOVEN FABRIC FINISHING MILLS
313210,BROADWOVEN FABRIC MILLS
541350,BUILDING INSPECTION SERVICES
485113,BUS AND OTHER MOTOR VEHICLE TRANSIT SYSTEMS
515210,CABLE AND OTHER SUBSCRIPTION PROGRAMMING
722514,"CAFETERIAS, GRILL BUFFETS, AND BUFFETS"
314912,CANVAS AND RELATED PRODUCT MILLS
334416,"CAPACITOR, RESISTOR, COIL, TRANSFORMER, AND OTHER INDUCTOR MANUFACTURING"
335991,CARBON AND GRAPHITE PRODUCT MANUFACTURING
339944,CARBON PAPER AND INKED RIBBON MANUFACTURING
722320,CATERERS
812220,CEMETERIES AND CREMATORIES
485510,CHARTER BUS INDUSTRY
311513,CHEESE MANUFACTURING
624110,CHILD AND YOUTH SERVICES
524291,CLAIMS ADJUSTING
483113,COASTAL AND GREAT LAKES FREIGHT TRANSPORTATION
483114,COASTAL AND GREAT LAKES PASSENGER TRANSPORTATION
611310,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS"
532411,"COMMERCIAL AIR, RAIL, AND WATER TRANSPORTATION EQUIPMENT RENTAL AND LEASING"
811310,COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE
236220,COMMERCIAL AND INSTITUTIONAL BUILDING CONSTRUCTION
311812,COMMERCIAL BAKERIES
522110,COMMERCIAL BANKING
323111,COMMERCIAL PRINTING (EXCEPT SCREEN AND BOOKS)
811213,COMMUNICATION EQUIPMENT REPAIR AND MAINTENANCE
485112,COMMUTER RAIL SYSTEMS
423430,COMPUTER AND COMPUTER PERIPHERAL EQUIPMENT AND SOFTWARE MERCHANT WHOLESALERS
811212,COMPUTER AND OFFICE MACHINE REPAIR AND MAINTENANCE
443120,COMPUTER AND SOFTWARE STORES
541513,COMPUTER FACILITIES MANAGEMENT SERVICES
334112,COMPUTER STORAGE DEVICE MANUFACTURING
541512,COMPUTER SYSTEMS DESIGN SERVICES
334118,COMPUTER TERMINAL AND OTHER COMPUTER PERIPHERAL EQUIPMENT MANUFACTURING
334113,COMPUTER TERMINAL MANUFACTURING
611420,COMPUTER TRAINING
333120,CONSTRUCTION MACHINERY MANUFACTURING
212321,CONSTRUCTION SAND AND GRAVEL MINING
532412,"CONSTRUCTION, MINING, AND FORESTRY MACHINERY AND EQUIPMENT RENTAL AND LEASING"
532210,CONSUMER ELECTRONICS AND APPLIANCES RENTAL
811211,CONSUMER ELECTRONICS REPAIR AND MAINTENANCE
623311,CONTINUING CARE RETIREMENT COMMUNITIES
561920,CONVENTION AND TRADE SHOW ORGANIZERS
333922,CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING
311821,COOKIE AND CRACKER MANUFACTURING
331420,"COPPER ROLLING, DRAWING, EXTRUDING, AND ALLOYING"
922140,CORRECTIONAL INSTITUTIONS
322211,CORRUGATED AND SOLID FIBER BOX MANUFACTURING
492110,COURIERS AND EXPRESS DELIVERY SERVICES
561492,COURT REPORTING AND STENOTYPE SERVICES
311512,CREAMERY BUTTER MANUFACTURING
561450,CREDIT BUREAUS
212312,CRUSHED AND BROKEN LIMESTONE MINING AND QUARRYING
335931,CURRENT-CARRYING WIRING DEVICE MANUFACTURING
337212,CUSTOM ARCHITECTURAL WOODWORK AND MILLWORK MANUFACTURING
325991,CUSTOM COMPOUNDING OF PURCHASED RESINS
541511,CUSTOM COMPUTER PROGRAMMING SERVICES
315210,CUT AND SEW APPAREL CONTRACTORS
327991,CUT STONE AND STONE PRODUCT MANUFACTURING
333515,CUTTING TOOL AND MACHINE TOOL ACCESSORY MANUFACTURING
518210,"DATA PROCESSING, HOSTING, AND RELATED SERVICES"
483111,DEEP SEA FREIGHT TRANSPORTATION
483112,DEEP SEA PASSENGER TRANSPORTATION
339114,DENTAL EQUIPMENT AND SUPPLIES MANUFACTURING
339116,DENTAL LABORATORIES
621512,DIAGNOSTIC IMAGING CENTERS
524114,DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS
524113,DIRECT LIFE INSURANCE CARRIERS
524126,DIRECT PROPERTY AND CASUALTY INSURANCE CARRIERS
561410,DOCUMENT PREPARATION SERVICES
339930,"DOLL, TOY, AND GAME MANUFACTURING"
311423,DRIED AND DEHYDRATED FOOD MANUFACTURING
424210,DRUGS AND DRUGGISTS' SUNDRIES MERCHANT WHOLESALERS
311824,"DRY PASTA, DOUGH, AND FLOUR MIXES MANUFACTURING FROM PURCHASED FLOUR"
311514,"DRY, CONDENSED, AND EVAPORATED DAIRY PRODUCT MANUFACTURING"
812320,DRYCLEANING AND LAUNDRY SERVICES (EXCEPT COIN-OPERATED)
611710,EDUCATIONAL SUPPORT SERVICES
221121,ELECTRIC BULK POWER TRANSMISSION AND CONTROL
335110,ELECTRIC LAMP BULB AND PART MANUFACTURING
221122,ELECTRIC POWER DISTRIBUTION
423610,"ELECTRICAL APPARATUS AND EQUIPMENT, WIRING SUPPLIES, AND RELATED EQUIPMENT MERCHANT  WHOLESALERS"
238210,ELECTRICAL CONTRACTORS AND OTHER WIRING INSTALLATION CONTRACTORS
334510,ELECTROMEDICAL AND ELECTROTHERAPEUTIC APPARATUS MANUFACTURING
334111,ELECTRONIC COMPUTER MANUFACTURING
334417,ELECTRONIC CONNECTOR MANUFACTURING
624230,EMERGENCY AND OTHER RELIEF SERVICES
561311,EMPLOYMENT PLACEMENT AGENCIES
541330,ENGINEERING SERVICES
813312,"ENVIRONMENT, CONSERVATION AND WILDLIFE ORGANIZATIONS"
541620,ENVIRONMENTAL CONSULTING SERVICES
611691,EXAM PREPARATION AND TUTORING
921110,EXECUTIVE OFFICES
325920,EXPLOSIVES MANUFACTURING
561710,EXTERMINATING AND PEST CONTROL SERVICES
332996,FABRICATED PIPE AND PIPE FITTING MANUFACTURING
332312,FABRICATED STRUCTURAL METAL MANUFACTURING
561210,FACILITIES SUPPORT SERVICES
333111,FARM MACHINERY AND EQUIPMENT MANUFACTURING
311225,FATS AND OILS REFINING AND BLENDING
325314,FERTILIZER (MIXING ONLY) MANUFACTURING
335921,FIBER OPTIC CABLE MANUFACTURING
522320,"FINANCIAL TRANSACTIONS PROCESSING, RESERVE, AND CLEARINGHOUSE ACTIVITIES"
112511,FINFISH FARMING AND FISH HATCHERIES
114111,FINFISH FISHING
238350,FINISH CARPENTRY CONTRACTORS
922160,FIRE PROTECTION
713940,FITNESS AND RECREATIONAL SPORTS CENTERS
611512,FLIGHT TRAINING
238330,FLOORING CONTRACTORS
311211,FLOUR MILLING
311511,FLUID MILK MANUFACTURING
