LOCID,LAT,LON,STATE_CODE,ZIPCODE,DIST,FUND_TYPE,NAICS_CODE,RECIPIENT,ACTION_DATE,START_DATE,END_DATE,PERMALINK,FED_ATION_OBL,CURRENT_TOTAL_VALUE,SUBAGENCY,DESCRIPTION
"Huntington-Ashland, WV-KY-OH Metro Area",38.406577,-82.542646,SD,45661,53.64,contract,,OHIO VALLEY ELECTRIC CORPORATION,9/30/23,4/15/03,1/10/24,https://www.usaspending.gov/award/CONT_AWD_DEAC0503OR22988_8900_-NONE-_-NONE-/,25000.0,205694136.2,Department of Energy,ELECTRIC BULK POWER TRANSMISSION AND CONTROL
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22180,14.14,contract,,"ONLOCATION, INC.",9/29/23,9/29/23,9/29/24,https://www.usaspending.gov/award/CONT_AWD_89303023FOP400005_8900_GS10F0126U_4730/,200000.0,498251.0,Department of Energy,ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES
"El Paso, TX Metro Area",31.527394,-105.521333,SD,88220,84.45,contract,,"ALEUT AEROSPACE ENGINEERING, LLC",9/29/23,8/1/19,7/31/24,https://www.usaspending.gov/award/CONT_AWD_89303319FEM400095_8900_89303319DEM000026_8900/,0.0,8895766.8,Department of Energy,ALL OTHER TELECOMMUNICATIONS
"Charlotte-Concord-Gastonia, NC-SC Metro Area",35.166342,-80.797285,SD,29730,22.79,contract,,"CATAWBA-TEA, LLC",9/29/23,4/18/23,4/18/24,https://www.usaspending.gov/award/CONT_AWD_89303323FEM400351_8900_89303323DEM000087_8900/,0.0,1108204.29,Department of Energy,REMEDIATION SERVICES
"Huntington-Ashland, WV-KY-OH Metro Area",38.406577,-82.542646,SD,45661,53.64,contract,,"AMERICAN CENTRIFUGE OPERATING, LLC",9/29/23,11/30/22,12/31/24,https://www.usaspending.gov/award/CONT_AWD_89243223CNE000030_8900_-NONE-_-NONE-/,350000.0,125921523.5,Department of Energy,NUCLEAR ELECTRIC POWER GENERATION
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,BATTELLE MEMORIAL INSTITUTE,9/29/23,1/4/03,9/30/27,https://www.usaspending.gov/award/CONT_AWD_DEAC0576RL01830_8900_-NONE-_-NONE-/,559170.79,30134631902.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"Kennewick-Richland, WA Metro Area",46.364155,-119.254927,SD,99354,3.05,contract,,BATTELLE MEMORIAL INSTITUTE,9/29/23,1/4/03,9/30/27,https://www.usaspending.gov/award/CONT_AWD_DEAC0576RL01830_8900_-NONE-_-NONE-/,4470248.83,30134631902.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,20120,4.06,contract,,PARSONS GOVERNMENT SERVICES INC.,9/29/23,8/15/23,8/14/28,https://www.usaspending.gov/award/CONT_AWD_89233123FNA000109_8900_89233222ANA000004_8900/,78948.38,6127539.69,Department of Energy,ENGINEERING SERVICES
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,MANAGEMENT SOLUTIONS LLC,9/29/23,7/1/20,5/31/24,https://www.usaspending.gov/award/CONT_AWD_89303520CEM000010_8900_-NONE-_-NONE-/,0.0,3993224.56,Department of Energy,OFFICE ADMINISTRATIVE SERVICES
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",38.798205,-77.486882,SD,22182,14.95,contract,,REGAN TECHNOLOGIES CORP,9/29/23,5/1/19,4/30/24,https://www.usaspending.gov/award/CONT_AWD_89603019F0049_8960_89303019AIM000008_8900/,181293.44,18422858.71,Federal Energy Regulatory Commission,OTHER COMPUTER RELATED SERVICES
"Idaho Falls, ID Metro Area",43.620423,-112.420919,SD,83402,13.64,contract,,IDAHO ENVIRONMENTAL COALITION LLC,9/29/23,10/1/23,9/30/31,https://www.usaspending.gov/award/CONT_AWD_89304223FEM400000_8900_89303321DEM000061_8900/,-3309343.27,939608842.0,Department of Energy,REMEDIATION SERVICES
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",41.823521,-87.828297,SD,60439,12.73,contract,,"UCHICAGO ARGONNE, LLC",9/28/23,7/31/06,9/30/26,https://www.usaspending.gov/award/CONT_AWD_DEAC0206CH11357_8900_-NONE-_-NONE-/,40300.0,14494654898.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",41.823521,-87.828297,SD,60439,12.73,contract,,"UCHICAGO ARGONNE, LLC",9/28/23,7/31/06,9/30/26,https://www.usaspending.gov/award/CONT_AWD_DEAC0206CH11357_8900_-NONE-_-NONE-/,21175089.17,14494654898.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",41.823521,-87.828297,SD,60439,12.73,contract,,"UCHICAGO ARGONNE, LLC",9/28/23,7/31/06,9/30/26,https://www.usaspending.gov/award/CONT_AWD_DEAC0206CH11357_8900_-NONE-_-NONE-/,56393076.63,14494654898.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"New Orleans-Metairie, LA Metro Area",30.05342,-89.934502,SD,70123,17.74,contract,,"V3GATE, LLC",9/28/23,10/1/23,9/30/24,https://www.usaspending.gov/award/CONT_AWD_89243523FCR400022_8900_NNG15SD27B_8000/,65385.75,65385.75,Department of Energy,OTHER COMPUTER RELATED SERVICES
"Modesto, CA Metro Area",37.562316,-121.002831,SD,94550,31.59,contract,,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",9/28/23,5/9/07,9/30/26,https://www.usaspending.gov/award/CONT_AWD_DEAC5207NA27344_8900_-NONE-_-NONE-/,39336979.1,31719431616.0,Department of Energy,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"Modesto, CA Metro Area",37.562316,-121.002831,SD,94550,31.59,contract,,"LAWRENCE LIVERMORE NATIONAL SECURITY, LLC",9/28/23,5/9/07,9/30/26,https://www.usaspending.gov/award/CONT_AWD_DEAC5207NA27344_8900_-NONE-_-NONE-/,50470095.09,31719431616.0,Department of the Army,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES"
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,CONSOLIDATED NUCLEAR SECURITY LLC,9/28/23,1/8/13,9/30/25,https://www.usaspending.gov/award/CONT_AWD_DENA0001942_8900_-NONE-_-NONE-/,6012417.79,36459462078.0,Department of the Army,FACILITIES SUPPORT SERVICES
"Knoxville, TN Metro Area",36.014791,-84.206701,SD,37830,5.76,contract,,CONSOLIDATED NUCLEAR SECURITY LLC,9/28/23,1/8/13,9/30/25,https://www.usaspending.gov/award/CONT_AWD_DENA0001942_8900_-NONE-_-NONE-/,32857035.05,36459462078.0,Department of Energy,FACILITIES SUPPORT SERVICES
